Unnamed: 0,sample,tissue_type.samples,kmeans_pca_2_k2,kmeans_pca_3_k2,kmeans_raw_k2,hierarchical_pca_2_k2,hierarchical_pca_3_k2,hierarchical_raw_k2,gmm_pca_2_k2,gmm_pca_3_k2,kmeans_pca_opt_k2,hierarchical_pca_opt_k2,gmm_pca_opt_k2
850,TCGA-G6-A8L8-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
851,TCGA-CZ-5459-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
853,TCGA-CZ-5459-01A,Tumor,1,0,1,0,0,0,0,1,0,0,1
856,TCGA-B0-4822-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
857,TCGA-B0-4822-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
862,TCGA-B8-5545-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
868,TCGA-CJ-5686-01A,Tumor,0,0,1,0,0,0,0,1,0,0,0
869,TCGA-B8-5551-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
873,TCGA-B8-A54J-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
874,TCGA-B0-5707-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
883,TCGA-B0-4697-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
884,TCGA-B0-4697-11A,Normal,1,1,1,1,1,1,1,1,1,1,0
887,TCGA-B4-5835-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
889,TCGA-B0-5696-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
900,TCGA-BP-5175-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
901,TCGA-BP-5175-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
908,TCGA-EU-5907-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
909,TCGA-CJ-5681-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
911,TCGA-CW-5581-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
913,TCGA-BP-5170-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
914,TCGA-BP-5170-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
932,TCGA-B0-4710-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
933,TCGA-B0-4710-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
934,TCGA-B0-5113-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
935,TCGA-B0-5113-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
940,TCGA-A3-3385-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
941,TCGA-A3-3385-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
942,TCGA-B8-5552-01B,Tumor,0,0,1,0,0,0,0,1,0,0,0
946,TCGA-B0-4821-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
947,TCGA-B0-4821-11A,Normal,1,1,1,0,1,1,0,1,1,1,0
